Location,Sublocation,Printerserver,Printername,Driver Name,Note
Alabama,HUN - 1525 Perimeter Parkway,ah1utility01,AH1_Hall_Xerox7845,Xerox WorkCentre 7845 PS,
Alabama,HUN - 1525 Perimeter Parkway,ah1utility01,AH1_Plotter_HPT830,HP DesignJet T830 36in MFP V4,
Alabama,HUN - 1525 Perimeter Parkway,ah1utility01,AH1_Proposals_Xerox7120,Xerox WorkCentre 7120 PCL6,
Alabama,HUN - 250 Bolling Rd,ah1utility01,AM1_Hangar_Cannon IPF755,Canon iPF755,
Alabama,HUN - 250 Bolling Rd,ah1utility01,AM1_Hangar_Xerox7225,Xerox WorkCentre 7225 PCL6,
Alabama,HUN - 250 Bolling Rd,ah1utility01,AM1_ToolCage_HPCP5225,HP Universal Printing PCL 6,
Colorado,ARA - 11551 E Arapahoe Rd.,araprint01,ARA-1FL-NORTH-Becky,HP Officejet Pro 8600 Class Driver,
Colorado,ARA - 11551 E Arapahoe Rd.,araprint01,ARA-1FL-NORTH-MILLS,HP OfficeJet Pro 8710,
Colorado,ARA - 11551 E Arapahoe Rd.,araprint01,ARA-1FL-NORTH-PRINTER-RM2-X7545,Xerox Global Print Driver PS,
Colorado,ARA - 11551 E Arapahoe Rd.,araprint01,ARA-1FL-NORTH-RM2-PLOTTER-HPT610,HP Designjet T610 44in HPGL2,
Colorado,ARA - 11551 E Arapahoe Rd.,araprint01,ARA-1FL-NORTH-ROOM1-C8045,Xerox Global Print Driver PCL6,
Colorado,ARA - 11551 E Arapahoe Rd.,araprint01,ARA-1FL-North-SC-HPM277,HP Universal Printing PCL 6,
Colorado,ARA - 11551 E Arapahoe Rd.,araprint01,ARA-1FL-South-IT-M454,HP Universal Printing PCL 6,
Colorado,ARA - 11551 E Arapahoe Rd.,araprint01,ARA-1FL-SOUTH-PSCDaily-X7346,Xerox Global Print Driver PCL,
Colorado,ARA - 11551 E Arapahoe Rd.,araprint01,ARA-1FL-SOUTH-PSCProject-EX-i C60-C70,Xerox EX-i C60-C70 Printer,
Colorado,ARA - 11551 E Arapahoe Rd.,araprint01,ARA-2FL-EO-HPLJM451DN,HP Universal Printing PS,
Colorado,ARA - 11551 E Arapahoe Rd.,araprint01,ARA-2FL-NORTH-Ewigleben,HP Universal Printing PCL 6,
Colorado,ARA - 11551 E Arapahoe Rd.,araprint01,ARA-2FL-NORTH-Horky-HPLJ400,HP Universal Printing PCL 5 (v5.6.5),
Colorado,ARA - 11551 E Arapahoe Rd.,araprint01,ARA-2FL-SOUTH-Cherie,HP Universal Printing PCL 6,
Colorado,ARA - 11551 E Arapahoe Rd.,araprint01,ARA-2FL-SOUTH-HR-C405,Xerox GPD PCL6 V5.733.11.0,
Colorado,ARA - 11551 E Arapahoe Rd.,araprint01,ARA-2FL-SOUTH-ITS-X7845,Xerox WorkCentre 7845 PS,
Colorado,ARA - 11551 E Arapahoe Rd.,araprint01,ARA-2FL-SOUTH-James,HP Universal Printing PCL 6,
Colorado,ARA - 11551 E Arapahoe Rd.,araprint01,ARA-2FL-SOUTH-Pollitt,HP Universal Printing PCL 6,
Colorado,ARA - 11551 E Arapahoe Rd.,araprint01,ARA-2FL-SOUTH-Security-X7845,Xerox WorkCentre 7845 PS,
Colorado,ARA - 11551 E Arapahoe Rd.,araprint01,ARA-2FL-SOUTH-Stilley,HP Universal Printing PCL 6,
Colorado,ARA - 11551 E Arapahoe Rd.,araprint01,ARA-2FL-South-Teresa Martinez Personal,HP Universal Printing PCL 5 (v5.6.5),
Colorado,ARA - 11551 E Arapahoe Rd.,araprint01,ARA-2FL-SOUTH-Thompson,HP OfficeJet Pro 8710,
Colorado,ARA - 11551 E Arapahoe Rd.,araprint01,ARA-Suite 117-Xerox Altalink C8045,Xerox Global Print Driver PCL,
Colorado,CC2 - 1707 Aviation Wy,araprint01,CC2-HGR-1FL-XEROX-7845,Xerox Global Print Driver PS,
Colorado,CE2 - 9800 S. Meridian Blvd,araprint01,CE2-Avionics-X7845,Xerox Global Print Driver PCL,
Colorado,CE2 - 9800 S. Meridian Blvd,araprint01,CE2-S-Printer1-XC8045,Xerox Global Print Driver PCL,
Colorado,CE2 - 9800 S. Meridian Blvd,araprint01,CE2-S-Printer2-XC8045,Xerox GPD PCL6 V5.759.5.0,
Colorado,CE2 - 9800 S. Meridian Blvd,araprint01,CE2-Structures-X7845,Xerox GPD PS V4.1.585.13.0,
Colorado,HGR 11 - 8073 Wallace Court,araprint01,SUN-1FL-Brother-HL5370DW,Brother Laser Leg Type1 Class Driver,No location of SUN
Colorado,HGR 11 - 8073 Wallace Court,araprint01,SUN-1FL-Xerox-C8045,Xerox GPD PCL6 V5.733.11.0,No location of SUN
Colorado,HGR 11 - 8073 Wallace Court,araprint01,SUN-2FL-TND-Xerox7775,Xerox GPD PCL6 V5.733.11.0,No location of SUN
Texas,TH2 - 18050 Saturn Lane,araprint01,TH2-Curry-M451,HP Universal Printing PCL 6,
Texas,TH2 - 18050 Saturn Lane,araprint01,TH2-Office-M477,HP Universal Printing PCL 6,
Texas,TP1 - 1100 Jupiter,araprint01,TP1-1FL-South-XC8045,Xerox Global Print Driver PCL6,
Colorado,HGR 14 - 8227 Wallace Court,araprint01,XCL-1FL-HANGAR-XEROX-C8045,Xerox GPD PCL6 V5.733.11.0,
California,BAO - 1956 Webster,BAOFS01,BAO_EXEC_HP4700,HP Universal Printing PCL 6 (v6.0.0),
California,BAO - 1956 Webster,BAOFS01,BAO_LAB_DELL3110cn,Dell Color Laser 3110cn PS,
California,BAO - 1956 Webster,BAOFS01,BAO_LAB_HP4700,HP Universal Printing PCL 6 (v6.0.0),
California,BAO - 1956 Webster,BAOFS01,BAO_MAIL_HP4700,HP Color LaserJet 4700 PCL 6,
California,BAO - 1956 Webster,BAOFS01,BAO_XEROX_C7025,Xerox VersaLink C7000 V4 PS,
Colorado,CC1 - 1711 Aviation Wy,cc1utility01,CC1 - 1st Floor Hallway - KMC450i,KONICA MINOLTA C650iSeriesPCL,
Colorado,CC1 - 1711 Aviation Wy,cc1utility01,CC1 - Back Shop -VersaLink C7025,Xerox Global Print Driver PS,
Colorado,CC1 - 1711 Aviation Wy,cc1utility01,CC1-BackShop-X7845,Xerox Global Print Driver PS,
Colorado,CC1 - 1711 Aviation Wy,cc1utility01,CC1-FrontOfficeHPLJProM478f-9f_1,HP Universal Printing PCL 6,
Colorado,CC1 - 1711 Aviation Wy,cc1utility01,CC1-FrontOfficeHPLJProM478f-9fdw,HP Universal Printing PCL 6,
Colorado,CC2 - 1707 Aviation Wy,cc1utility01,CC2 - East Wall - KM C450i,KONICA MINOLTA C650iSeriesPCL,
Colorado,CC2 - 1707 Aviation Wy,cc1utility01,CC2-EastWall-AltaLinkC8145,Xerox Global Print Driver PS,
Colorado,CC3 - 5751 Camber View,cc1utility01,CC3-EastWall-AltaLinkC8045,Xerox Global Print Driver PS,
Colorado,CC3 - 5751 Camber View,cc1utility01,CC3-EastWall-AltaLinkC8045MFP,Xerox Global Print Driver PS,
Colorado,CC3 - 5751 Camber View,cc1utility01,CC3-Plotter-HP DesignJet T1700,HP DesignJet T1700 V4,
Colorado,CC3 - 5751 Camber View,cc1utility01,CC3-QAArea-HPFB78BA (HP OfficeJet Pro 8710),HP Officejet Pro PCL3 Class Driver,
Colorado,CC3 - 5751 Camber View,cc1utility01,CC3-QAISLAND-AltaLinkC8045MFP,Xerox GPD PS V4.0.548.8.0,
Colorado,CC5 - 5723 Camber View,cc1utility01,CC5 - East Wall - KMC450i,KONICA MINOLTA C650iSeriesPCL,
Colorado,CC5 - 5723 Camber View,cc1utility01,CC5-NorthWall-AltaLinkC8045,Xerox Global Print Driver PS,
Colorado,CC5 - 5723 Camber View,cc1utility01,CC5-WestWall-AltaLinkC8045,Xerox Global Print Driver PS,
Colorado,CC6 - 2520 Aviation Way,cc1utility01,CC6-Warehouse-Expansion-AltaLinkC8145,Xerox AltaLink C8145 V4 PCL6,
Colorado,CC6 - 2520 Aviation Way,cc1utility01,CC6-Warehouse-HPM281-1,HP Universal Printing PCL 6,
Colorado,CC6 - 2520 Aviation Way,cc1utility01,CC6-Warehouse-HPM281-2,HP Universal Printing PCL 6,
Colorado,CC6 - 2520 Aviation Way,cc1utility01,CC6-Warehouse-HPM281-3,HP Universal Printing PCL 6,
Colorado,CC6 - 2520 Aviation Way,cc1utility01,CC6-Warehouse-KCOS-HPLJProM281FDW_1,HP Universal Printing PCL 6,
Colorado,CC6 - 2520 Aviation Way,cc1utility01,CC6-Warehouse-KCOS-HPLJPROM281FDW_2,HP Universal Printing PCL 6,
Colorado,CC6 - 2520 Aviation Way,cc1utility01,CC6-Warehouse-KCOS-HPLJPROM281FDW_3,HP Universal Printing PCL 6,
Colorado,CC6 - 2520 Aviation Way,cc1utility01,CC6-Warehouse-KCOS-HPLJProM452dw_3,HP Universal Printing PCL 6,
Colorado,CC6 - 2520 Aviation Way,cc1utility01,CC6-Warehouse1-X7845,Xerox Global Print Driver PS,
Colorado,CC7 - 2121 Aviation Way,cc1utility01,CC7 - East Wall - AltaLink,Xerox Global Print Driver PS,
Colorado,CC7 - 2121 Aviation Way,cc1utility01,CC7 - West Wall - AltaLink,Xerox Global Print Driver PS,
Colorado,CC7 - 2121 Aviation Way,cc1utility01,CC7-Kiosks-XeroxAltaLinkC8045,Xerox Global Print Driver PS,
Colorado,HGR 1 - ,cc1utility01,EN5-HNAGARFLR-X7845,Xerox Global Print Driver PS,
Colorado,,cc1utility01,VersaLink C7025,Xerox Global Print Driver PS,
Colorado,,cc1utility01,Xerox AltaLink C8145 (A8:66:78),Xerox AltaLink C8145 V4 PCL6,
Colorado,CC3 - 5751 Camber View,CC4Print01,CC3 - Temp West Wall - AltaLinkC8045,Xerox GPD PCL6 V4.1.585.13.0,
Colorado,CC4,CC4Print01,CC4-4FL-Plotter-HPT1700,HP DesignJet T1700 V4,
Colorado,CC4,CC4Print01,CC4-4FL-PRINTER-HPM551,HP Universal Printing PCL 6,
Colorado,CC4,CC4Print01,CC4-4FL-PrinterRoom-XeroxAltaLinkC8045,Xerox GPD PCL6 V4.1.585.13.0,
Colorado,,CC4Print01,GRE-Backup-HPOJPro7740,HP OfficeJet Pro 7740 series PCL-3,
Colorado,,Cenprint01,CEN-1FL-FAC-XEROX7345,Xerox Global Print Driver PCL6,
Colorado,,Cenprint01,CEN-2FL-SUPPLYRM-PLOTTER-HPJLT770,HP Designjet T770 44in HPGL2,
Colorado,HGR 13 - 8165 Wallace Court,Cenprint01,H13-HangarFlr-VersalinkC7025,Xerox GPD PCL6 V4.0.548.8.0,
Colorado,OP1 - 7565 S Peoria Street,Cenprint01,H2-1FL-HangarFloor-X7545,Xerox Global Print Driver PCL,
Colorado,,Cenprint01,HP Officejet Pro X476dn MFP PCL 6,HP Officejet Pro X476dn MFP PCL 6,Unknown Location
Colorado,HGR 13 - 8165 Wallace Court,Cenprint01,W13-1FL-Training-HPOJ8710,HP OfficeJet Pro 8710,
Colorado,HGR 13 - 8165 Wallace Court,Cenprint01,W13-2FL-Office-MX2300,SHARP MX-2300N PCL6,
Colorado,HGR 13 - 8165 Wallace Court,Cenprint01,W13-2FL-Office-WC5300,Xerox WorkCentre 5330 PCL6,
Colorado,HGR 13 - 8165 Wallace Court,Cenprint01,W13-HANGARFLR-X7845,Xerox GPD PCL6 V4.0.548.8.0,
Colorado,HGR 14 - 8227 Wallace Court,Cenprint01,XCL-1FL-HANGAR-SHARPMX2700N,SHARP MX-2700N PCL6,
Colorado,HGR 14 - 8227 Wallace Court,Cenprint01,XCL-1FL-Lobby-HPDesignJetT2300,HP Designjet T2300ps PS3,
Colorado,HGR 14 - 8227 Wallace Court,Cenprint01,xcl-1fl-lobby-xeroxwc7425,Xerox Global Print Driver PCL6,
Colorado,CN2,CN2PRINT01,CN2-1FL-CLS-MATS,HP Color LaserJet CM4540 MFP PCL 6,
Colorado,CN2,CN2PRINT01,CN2-1FL-CLS-SHIP,HP Color LaserJet CM4540 MFP PCL 6,
Colorado,CN2,CN2PRINT01,CN2-1FL-ENG-SharpMX2700N,SHARP UD2 PCL6,
Colorado,CN2,CN2PRINT01,CN2-1FL-Facilities-HPCLJMFPM281fdw,HP Universal Printing PCL 6,
Colorado,CN2,CN2PRINT01,CN2-1FL-GSlogistics-HPLJ700,HP LaserJet 700 color MFP M775 PCL 6,
Colorado,CN2,CN2PRINT01,CN2-1FL-GSSIL-HPMFPM775,HP LaserJet 700 color MFP M775 PCL 6,
Colorado,CN2,CN2PRINT01,CN2-1FL-HPOJPROX476,HP Officejet Pro X476dn MFP PCL 6,
Colorado,CN2,CN2PRINT01,CN2-1FL-IR-A,Xerox Global Print Driver PS,
Colorado,CN2,CN2PRINT01,CN2-1FL-Label1-ZT220ZPL,ZDesigner ZT220-300dpi ZPL,
Colorado,CN2,CN2PRINT01,CN2-1FL-Label2-ZT220ZPL,ZDesigner ZT220-300dpi ZPL,
Colorado,CN2,CN2PRINT01,CN2-1FL-Label3_Intermec,Intermec PM43 (406 dpi),
Colorado,CN2,CN2PRINT01,CN2-1FL-Logistics1-HPLJ700,HP LaserJet 700 color MFP M775 PCL 6,
Colorado,CN2,CN2PRINT01,CN2-1FL-Logistics2-HPLJ700,HP LaserJet 700 color MFP M775 PCL 6,
Colorado,CN2,CN2PRINT01,CN2-1FL-MAT-Brother7840,Brother MFC-7840W,
Colorado,CN2,CN2PRINT01,CN2-1FL-MAT-Brother9460,Brother MFC-9460CDN Printer,
Colorado,CN2,CN2PRINT01,CN2-1FL-MAT-XeroxC8045,Xerox Global Print Driver PS,
Colorado,PEA - 10949 E Peakview Ave.,CN2PRINT01,CN2-1FL-MATS-A-M425dw,HP ColorLaserJet M253-M254 PCL-6 (V4),
Colorado,PEA - 10949 E Peakview Ave.,CN2PRINT01,CN2-1FL-MATS-B-M452dw,HP ColorLaserJet M253-M254 PCL-6 (V4),
Colorado,CN2,CN2PRINT01,CN2-1FL-REC-HPLJP2055,HP Universal Printing PCL 6,
Colorado,CN2,CN2PRINT01,CN2-1FL-Receiving-HPLJP3015,HP Universal Printing PCL 6,
Colorado,CN2,CN2PRINT01,CN2-1FL-RnR-AltaLinkC8055,Xerox Global Print Driver PCL6,
Colorado,CN2,CN2PRINT01,CN2-1FL-Saftey-Epson 545,EPSON WorkForce 545 Series,
Colorado,CN2,CN2PRINT01,CN2-1FL-Shipping-XeroxWC7225,Xerox Global Print Driver PS,
Colorado,CN2,CN2PRINT01,CN2-1FL-STORAGEANDISSUE,HP LJ300-400 color MFP M375-M475 PCL 6,
Colorado,CN2,CN2PRINT01,CN2-1FL-WiringBackshop-BrotherMFCJ6710,Brother MFC-J6710DW Printer,
Colorado,CN2,CN2PRINT01,CN2-2FL-LOFT-HPMFP775,HP Universal Printing PS,
Colorado,CN2,CN2PRINT01,CN2-Backshop-HP_LaserJet_M551,HP LaserJet Enterprise 500 Color M551 PCL6 Class Driver,
Colorado,CN2,CN2PRINT01,CN2-Backshop-Versalink_C405,Xerox Global Print Driver PCL6,
Colorado,CN2,CN2PRINT01,CN2-E11-Front Desk-Dell2135cn,Xerox Global Print Driver PCL6,
Colorado,CN2,CN2PRINT01,Xerox WorkCentre 7556 PCL6,Xerox WorkCentre 7556 PCL6,
Colorado,CN2,CN2PRINT01,ZDesigner ZT220-200dpi EPL,ZDesigner ZT220-200dpi EPL,
